review,rating
"ga ada problem solution dari setiap masalah yg di alami costumer, costumer care service nya ga berfungsi, ga bisa menjembatani antara costumer dan toko / seller,",1
Heran sya.... makin ke sini aplikasi sering stuck gagal menampilkan laman lapak. update udah dilakuin.... internal juga masih luas..... parah banget..... jadi y lebih suka belanja di sebelah. gak pernah gagal loading laman.....,1
biaya admin mahalll,1
"sungguh membingungkan, pesanan COD 1 hari sampai. giliran yang sudah bayar ampe 5 hari belum sampai. tolong rubah dong sistem nya. jasa ekspedisi yg tdk bagus ganti aja ga usah dipakai lagi. ini admin nya lapor ga sih kl ada komentar bintang 1, kl baca tolong naikkan ke atas biar di evaluasi lagi. kalau tidak cukup terakhir saya pesan di tokped.",1
ok bgt bsa pke dana,5
"pesanan dibatalkan sistem mulu, refund lama bet barangnya keburu abis",1
tolong tambahin fitur bayar pake QR dong biar lebih gampang lgi klo mau bayar,4
ok,5
"sedih harus hilang, kenpa mesti gabung toktok sih saya lebih suka Tokopedia dari pada tiktokshop beda jauh.",5
"beli barang murah, ongkir nya gk ada yg ngotak bjir, walopun dh pke voucher diskon, ttp aja mahal",2
mudah aplikasinya,5
"tolong Tokopedia perhatikan celah bagi seller untuk menipu barang tidak sesuai dengan deskripsi dan gambar, ketika mengajukan komplain seller mengirimkan alamat yang tidak sesuai sehingga kurir yang bertugas sulit untuk mengetahui alamat pengembalian tersebut",1
"""DIPROSES"" mulu gk di kirim2 belanja online terlama",1
jelek g ada keterangan g dichat kurir,1
bagus,5
"6 hari kerja baru cair, mengerikan",1
CSnya gak ada respon,1
saya heran kenapa ongkir toped mahal sekali padahal belanja di toko yang sama dan item gak sampai 1 kilo ongkirnya tetap di kalikan 2 apa ada caranya agar ongkir lebih hemat masa kalah sama toko oren bisa sampai mengratiskan ongkir dan juga harga masih masuk akal mohon pencerahan dari toped 🙏,1
JELEK BANGET SISTEM KOMPLAIN NYA TERLALU MENGUNTUNGKAN SELLER PADAHAL SELLER NYA YANG JUAL BARANG RUSAK.RESPON SELLER JUGA LAMBAT!!! BENERIN SISTEM NYA LAH,1
costumer servis nya slow respon,1
mantap,5
mantap bos,5
beberapa kali pesen barang dibatalkan sistem terus.. gak niat ini apk nya nggak mengedepankan costumer!,2
saya suka toped cuman Produk nya tidak lengkap.,1
"Males banget, setiap kali dapet kurir rekomendasi pasti IdExpress. setiap kali komplain juga karena barang rusak malah customer service nya jelek banget",1
bagus,5
sangat membantu ut belanja,5
ruwet,1
"BELANJA DI TOKOPEDIA PENGIRIMAN NYA SEKARANG LEBIH BURUK DARI PADA SHOPEE, PESAN BARANG DARI TGL 7 APRIL SAMPAI SEKARANG BELUM TIBA DAN TIDAK ADA UPDATE TERBARU MENGENAI POSISI BARANG NYA DIMANA, MAU CHAT COSTUMER SERVICE PUN SUSAH NYA MINTA AMPUN YANG LADENIN MALAH CHATBOT, BINTANG -10.",1
"mantap bosqu,aloxx",4
"Sekarang kalau mau ke CS susah di arahinnya cuma ke bot dan jawabannya sangat tidak membantu jadi masalah yg kita hadapi tidak bisa terselesaikan dengan baik, better e-commerce sebelah deh lebih bagus penanganan masalahnya",1
mantab,5
My XL sngt membantu sy dlm paket data.,5
kenapa saya tidak bisa login ya??? dan kenapa aplikasi terlogout sendiri?,4
"ya ampun saya kasih bintang 0 aja kalo ada, sekarang cs nya lama banget dari kemarin loh pesan saya nggak ada CS yang bales-bales, tolong ditingkatkan lagi dong ini tuh aplikasinya, saya dari kemarin tidak bisa melakukan pembelian",1
mantep,5
sudah berhasil registrasi data tp pengajuan ditolak.. jgn sampai ya data yg sdh masuk disalah gunakan min,3
Barakallahu fikum,5
aplikasi eror....,1
sangat membantu nice pokok e,5
"hapus aja deh min ekspedisi yang pakai JNE ... udah lambat, kurir malas untuk cari di google.. perasaan setiap pakai ekspedisi lain aman"" aja. kenapa kalo pakai ekspedisi JNE selalu keluhanya alamat tidak di ketemukan.. ekspedisi lain aja bisa cari lohhh Pakat aman"" aja. kurirnya buta maps kayanya",5
aplikasi buruk saya kena tipu bela ja di sini nominal 200...dan barang nya malah tidak bisa di rektur dan tidak ada tanggung jawab dari toko pedia...hati2 kalo mau menggunakan toko pedia mending ke yang lain,1
"update aplikasi selalu tidak bisa, selalu penyimpanan penuh pdhal penyimpanan nya masihh ada ruang 2 gb an, giliran install lagi masih aja tetep samaa, tolong dong diperbaikinnn miminn 🙏",1
good,5
👍👍👍👍👍,5
sangat membantu,5
saran untuk tokped..mendingan kerjasama dengan JNE diputus dah😂..sering order barang kena ekspedisi JNE..lamaa puolll dan bahkan barang gk dtg/hilang..ekspedisi yg paling menyebalkan😁🙏,1
"ga lagi belanja di tokopedia barang suka tidak terlacak lah apa lah ada ini paket udah 5 hari di 1 titik yha di jombang padahal pake Shopee cepet jir bug paket stak itu hapus aja sekalian gausah di lacak, bikin kesel aja mana kadang kadang kurir suka datang padahal paket masih di jakarta lah tanggerang lah",3
"Kurir rekomendasi anda sangat mengecewakan pelayanannya 👎🏻 Selama ini saya tidak pernah beri ulasan jelek, tapi kali ini maaf ya saya sangat kecewa dengan Tokopedia dan tim kurir rekomendasinya. Orderan saya dari tgl 1 April sampai 12 April belum tiba ditujuan",1
ok,5
"ongkirnya mahal dan jarang ada gratis ongkir,, pengguna pertama juga gk ada yg spesial banget..",1
gimana ini kacau banget.. tiba tiba tanpa ada notifikasi otp dll ada transaksi pembayaran bpjs dengan gopay letter gw.. dah gitu nominal nya gede pula.. udah laporan ke Tokopedia.care gak ada respon.. gimana ini solusinya.. tolong dong yang tanggung jawab.. ini gak ada notifikasi gak ada otp tapi pembayaran sukses.. rusak nih aplikasi,1
"marketplace ampas,, beli barang harga 200, ongkos kirim 150, pesanan dibatalkan sistem, uang yang dibalikin cma 200,, ongkos kirim gk dibalikin.. gk lagi2 deh pakai nih marketplace..",1
"knapa paylatter gk prnah bisa dipakai skr!!!cicilan gk prnah terlambat,jauh seblm jatuh tempo tlf2 tiap hari kayak apikasi pinjol ilegal yg takut gk dibayar!!!!",1
"maaf dari driver gojek untuk para konsumen, pickup gosend tokped di cancel sendiri oleh system bukan driver ya, karena. durasi waktu kejauhan untuk pickup kadang driver baru sampe ga lama cancel sendiri kasian driver pake bensin sendiri aplg yg ke mall mesti parkir dibayar driver jalan jauh naik lantai juga nyari toko akhirnya dicancel automatis dari system yang lebih buruk dari aplikasi gosend gojek dan Tokopedia, rating akan diperbaharui setelah ada penyelesaian atau penanganan pihak terkait",4
"gua mesen barang cuma sampe di proses terus, udah 2 kali, mau dibatalkan waktunya lama banget, ini gimana sih toko toko nya, saya butuh barang biru segera, bisa gasih batalkan dalam waktu 1 hari jika penjual tidak merespon",1
okee tokped mantap,5
jelek,1
lama bgt kirim nya udh 3 hari lebih,1
Semakin mantaafff,5
"agak riweuh proses daftarnya, sering gagal",4
Alhamdulillah membantu,5
"1 saya pesan item promo udah bayar 2 pesan minyak goreng dikirim cashing HP 3 lakukan komplain pengembalian barang dan uang 4 udah drop off ke JNE sering keluar notif : segera tanggapi komplainmu saya klik masuk diskusi ada boxnote : chat di kolom diskusi tidak dihitung sbg respon, klik bla bla bla tapi tidak ketemu apa yg harus diklik lalu saya harus ngapain?",1
mantap,5
good,5
saran saja. jangan pakai kurir si cepat. paket pada muter muter gak sampai sampai,4
"mohon tambahkan fitur / menu ""TERAKHIR DILIHAT"", seperti toko sebelah, agar memudahkan mencari lagi barang yang diinginkan tapi belum sempat masuk whistlist",4
"banyak pilihan produk, pilihan pembayaran dan pengiriman dan juga kemudahan pembayaran berbagai keperluan..",5
bertanggung jawab beda dengan jasa lainya dan banyak promo tiap harinya,5
mau coba dlu bsgus ga app,3
tingkat kan lagi dan tertibkan penjual yang tidak jujur atau tidak jelas,4
proses update sistem pengiriman ke konsumen terlalu lama,1
mantap semua lengkap,5
"terimakasih tokped karena makal ongkir dan minim promo, dgn begitu saya jd mikir2 untuk belanja d tokped dan memutuskan berhenti langganan d tokped. mudah2an tokped makin mahal ongkir dan makin minim promo supaya rakyat indonesia berhenti berbelanja d tokped.",1
"pengirimannya lambat banget banget , emang kaya gini ya tokped jelek amat",1
admin nya di chat sudah 2 hari tidak membalas pesan.fana sudah tertahan di Tokopedia selama 23 hari masih tidak bisa menarik saldo ke rekening,1
aplikasi banyak toko penipuan,1
sangat membantu..,5
pusat resolusi bisa berubah2 waktu yg ditetapkan,1
buat barang barang ok cuma ada brpa yg ga bisa cod,3
baik,4
"apa sih kurir belom aja dateng keruma tiba tiba diretur, terus komplain ke toped ditolak, gimana ini pihak toped care",1
tokopedia terbaik semogo mendapatkan rejeki yang berlimpah amin,5
best,5
Menyesal langganan PLUS 6 bulan tetap dikenakan biaya layanan dan biaya jasa aplikasi.,1
5bintang,5
kalau bisa tokopedia sediakan layanan pay latter via dana makasih,5
"ketemu penjual yg sengaja ulur waktu hingga batal otomatis, sudah request batal pesanan ke penjual tapi ditolak penjual. jadi nggu ga jelas 3 hari dikirim juga ga. lapor CS, bot yg jawab gajelas. makin kesini makin suram",1
untuk menghapus riwayat pembelian yg sudah selesai susah amat,3
"agak kecewa sama tokped, skrg udah susah cari liquid ditokped pake android",1
"mantap,recommended e commerce platform...!",5
mantul & smart,5
luas biasa,5
alhamdulillah aplksinya bagus banget,5
banyak toko yang menipu konsemen,1
hapus rekomendasi kurir sistem gk jelas udah berapa kali beli di retur mulu,3
simpel,5
Bagus,5
"hati2 kl complain soal sistem. gak Terima mrk. gue complain tengah mlm, pagi lgs gak bs bk review barang. complain am cs sengaja ngomong gak nyambung. pd gue tembak ini gue diblok y gr2 complain, alasannya sibuk. hebat loch sibuk sampe 5 hari . akhir-ny tadi gue cek baru bisa nich sistem. ternyata model ambek-an nich",1
"buka toko di tokopedia d jawab template terus.. perbanyak AI pecat karyawan yang banyak.. biar banyak *1, ngapain suruh chat ke tokopedia care?? justru karena di bales template terus makanya saya post *1 di sini..",1
tolong jangan hapus fitur tiket pesawat karena fitur tesebut bermanfaat bagi saya dan biaya layanan pun murah,1
2 kali pesen barang j&t tidak mengirimkan barang nya gua unistal apk ini,1
barangnya oke,5
good,5
login akun eror,1
"mudah dalam mencari segala kebutuhan, harga standar umum.",5
cepat dan praktis,5
"maaf,tapi aplikasi ini cuma spam gratis ongkir,kalah jauh sama toko online sebelah yg selalu discount besar""an di official store.tingkatkan lagi",1
"aduh ini ini kenapa saat ku buka tokopedia ko tiba-tiba log out account , saat masuk lagi malah ga bisa log in 😒 tolong perbaikin ya . saya lagi menunggu transaksi pengiriman soalnya",1
"Aku suka banget beli di sini mudah banget,GA ribet jangan lupa di download",5
sangat bagus,5
ok sangat membantu,5
sangat sulit unutuk mengajukan retrun,1
Merugikan pembeli ! kebanyakan membantu toko yang melakukan penipuan,1
"aku kecewa sekali ama tokopedia,pas aku buka tokopedia ada tulisan back home gak tahu nya tokopediaku jdi baru lagi dgan harus login lagi,padahal aku dah lama jadi peguna tokopedia,dan walapun akudaftarin lagi,no hp aku dah gak bisa buat bikin lagi,padahal udah aku coba berkali2 tetep gak bisa,terakhir aku masih ad belanjaan,aku gak tahu dah sampe ap blm....tolong lah tokopedia atas nama aku balikin lagi tokopediaku yg dulu,makasih",3
Shiappp,3
mantap,5
"Ongkirnya mahal, lebih mahal daripada harga barang",3
tidak ada diskon ongkir di aplikasi toko pedia,2
ok,5
memang mantap,5
mantab,5
semoga tokopedia aman dan amanah,4
belanja di Tokopedia sangat puas,5
"tolong diperbaiki bug penempatan titik pin alamat, karena sudah saya pas in dan simpan. pas dicek lagi tidak sesuai dengan titik tempat saya. Terima kasih",4
bagus apk,5
Tokopedia pengiriman tidak jelas tidak antar sudah 8 hari gak sampai² pengiriman lama banget terus lama tidak ada yang beli lagi Tokopedia gimana kurir JNE regular tidak mau antar gimana Tokopedia saya kecewa males beli Tokopedia,1
mantap lebih maju dr sblumnya,5
Mantap...,5
mudah,5
mantappp,5
puas,2
hati hati aplikasi ini banyak celah penipuan saya dua kali tertipu soalah olah sekongkol dengan penipunya aplikasi ini.. jika return barang yang kita beli tidak sesuai dan alamat toko gak valid/ atau di palsukan toko barang akan kembali ke pembeli 1jam barang sampai langsung otomatis transaksi selesai. raip sudah uang kita,1
"lama, pembatalan sistem terlalu lama",2
burik,3
kenapa akun ku tiba-tiba hilang dan gak bisa diakses? biasanya buka kembali akses OTP via WhatsApp,1
toko pedia memang hebat,5
Bagian proses pengiriman kurang detail/rinci,3
pelayanan makin buruk. baru saja order barang di Tokopedia dan melakukan pembayaran melalui qris Tokopedia. pembayaran selesai namun orderan di batalkan sistem. di live chat Tokopedia care pun gak ada resfon ga ada balasan sama sekali. payah sekarang tokped. mending pada pindah deh uninstall tokped makin kesini makin gak jelas. orderan pembelian yg di batalkan pun tidak ada di history. sehingga tidak bisa mengajukan komplain orderan tersebut. sangat kecewa dengan pelayanan tokped.,1
kok aneh id saya mendadak gak bisa login? parah nih toped habis update ngacau,1
mengecewakan,1
"mantap bos,ku",5
"Tolong akun saya ke logout di HP & Komputer, coba masuk kembali tidak bisa, di reset ganti password tidak ada email masuk, piye iki jo ijo???? Udah upload kendala belum ada respon masuk email...",2
saya sangat puas dengan apk nya,5
kembalikan Tokopedia seperti dulu kala buka toko lewat aplikasi Tokopedia seller aja bukan Tokopedia&tiktokshop plis jangan aneh aneh,1
belanja di tokopedia sangat memuaskan,5
"terima kasih, sangat membantu, teri.a kasih toko pedia",5
cs nya gajelas di chat² gak dijawab solusi tidak terselesaikan jadi males pake Tokopedia lagi gara² cs nya lemot,1
memuaskan,5
-Ongkir mahal -kategori COD nggak guna di awal ditulis bisa COD tapi pas cek out malah ngak bisa sudah nyoba berkali kali ke produk-produk lain tapi nggak ada satupun yang bisa COD,1
bagus,5
"toko pedia nggx jelas , masa pemesanan tangga tanggal 9 April sampe skrng status pengiriman barang nggx jelas gagal pick terus, toko sebelah aja barang saya dengan tanggal pemesanan sama sudah sampai, mulai nggx jelas.",1
kurang memuaskan,1
Gak jelas,5
"banyak toko penipuan masih di biarkan, dasar aplikasi setan, saya pesan minyak goreng di kirim casing hp, total belanja saya 180 rb, di krm casing harga 10 rb, di compalin gak ada gunananya uang saya gak balik hati2 belanja di tokopedia. nama tokonya SINARGROSIR44.",1
good,5
mantap,5
"banyak toko drama flash sale , salah harga lah salah lain-lainlah",1
mencoba sesuatu yang baru,5
"Tolong lah admin masa ga bisa check out barang dari jauh?, padahal lokasi toko terdekat nya aja ga ada paling ada 1-4 toko saja. Mau check out barang nya harus ubah alamat nya dan baru bisa Check out barang nya. tolonglah bikin permudah para pengguna aplikasi ini. (check out / beli)",5
"sangat buruk... jangan pake jasa pinjm uang di Tokopedia ,data lu bahaya,",1
baik,4
tidak bisa refund!...,1
gratis ongkir terus.. mantappp,5
"info hapus akun,bisa apa enggak? masak ajukan komplain bisa dilakukan 48jam setelah estimasi maksimal,busyet,maaf ya mending beralih ke marketplace lain",1
"giliran bayar pake gopay barangnya datengnya lama, giliran cod cepet, ini mau komplain gimna tokopedia center stuck di loading terus!!!!!",1
bagus,5
mending ke Shoppe bang wkwkwk si ijo ampas,1
"tidak bisa melindungi konsumennya, admin susah di hubungi. hapus aja aplikasi begini",1
"aplikasi bagus tapi dikerjakan orang gak profesional. kurir bermasalah, seller bermasalah, tokopedia care bermasalah. parah",1
nyoba,5
bagus toko pedia semoga selalu memberi kenyamanan pembeli/ konsumen dan membantu kebutuhan masarakan di indonesa dan konsekwen bijaksana 👍👍💪💪💪💪💗💗,5
bagus,4
Cukup membantu dalam belanja online..tolong dijaga amanahnya saja...,4
sangat tdk rekomendasi Pengembalian dana tdk ada konfirmasi dahulu kirim kemana parah,1
